id,Pedido,Quantidade,Preco,Numero_produto,Vendas,Data,Status,Quarter,Mes,Ano,Produto,Codigo_produto,Estado,Codigo Postal,Pais,Tamanho,Faturamento
18,10312,48,100,3,11623.7,10/21/2004,Shipped,4,Oct,2004,Classic Cars,S10_1949,CA,97562,EUA,Large,300
19,10322,40,100,1,6000.4,11/4/2004,Shipped,4,Nov,2004,Classic Cars,S10_1949,NH,62005,EUA,Medium,100
20,10333,26,100,3,3003,11/18/2004,Shipped,4,Nov,2004,Classic Cars,S10_1949,CA,,EUA,Medium,300
21,10357,32,100,10,5691.84,12/10/2004,Shipped,4,Dec,2004,Classic Cars,S10_1949,CA,97562,EUA,Medium,1000
22,10369,41,100,2,4514.92,1/20/2005,Shipped,1,Jan,2005,Classic Cars,S10_1949,MA,58339,EUA,Medium,200
23,10381,36,100,3,8254.8,2/17/2005,Shipped,1,Feb,2005,Classic Cars,S10_1949,CA,,EUA,Large,300
24,10107,39,99.91,5,3896.49,2/24/2003,Shipped,1,Feb,2003,Motorcycles,S10_2016,NY,10022,EUA,Medium,499.55
25,10145,37,100,9,5192.95,8/25/2003,Shipped,3,Ago,2003,Motorcycles,S10_2016,CA,90003,EUA,Medium,900
26,10159,37,100,17,5016.83,10/10/2003,Shipped,4,Oct,2003,Motorcycles,S10_2016,CA,,EUA,Medium,1700
27,10168,27,100,4,3660.93,10/28/2003,Shipped,4,Oct,2003,Motorcycles,S10_2016,CA,94217,EUA,Medium,400
28,10201,24,100,5,3025.92,12/1/2003,Shipped,4,Dec,2003,Motorcycles,S10_2016,CA,,EUA,Medium,500
29,10236,22,100,1,2852.08,4/3/2004,Shipped,2,Apr,2004,Motorcycles,S10_2016,PA,71270,EUA,Small,100
30,10251,44,100,5,5756.52,5/18/2004,Shipped,2,Mai,2004,Motorcycles,S10_2016,NJ,94019,EUA,Medium,500
31,10263,40,100,5,4472,6/28/2004,Shipped,2,Jun,2004,Motorcycles,S10_2016,CT,97562,EUA,Medium,500
32,10285,47,100,9,6484.59,8/27/2004,Shipped,3,Ago,2004,Motorcycles,S10_2016,MA,51247,EUA,Medium,900
33,10308,34,100,2,4043.96,10/15/2004,Shipped,4,Oct,2004,Motorcycles,S10_2016,NY,24067,EUA,Medium,200
34,10318,45,100,4,5566.5,11/2/2004,Shipped,4,Nov,2004,Motorcycles,S10_2016,PA,70267,EUA,Medium,400
35,10329,20,100,2,3176,11/15/2004,Shipped,4,Nov,2004,Motorcycles,S10_2016,NY,10022,EUA,Medium,200
36,10388,50,44.51,5,2225.5,3/3/2005,Shipped,1,Mar,2005,Motorcycles,S10_2016,MA,50553,EUA,Small,222.55
37,10107,27,100,4,6065.55,2/24/2003,Shipped,1,Feb,2003,Motorcycles,S10_4698,NY,10022,EUA,Medium,400
38,10145,33,100,8,5176.38,8/25/2003,Shipped,3,Ago,2003,Motorcycles,S10_4698,CA,90003,EUA,Medium,800
39,10159,22,100,16,4132.7,10/10/2003,Shipped,4,Oct,2003,Motorcycles,S10_4698,CA,,EUA,Medium,1600
40,10168,20,100,3,4183,10/28/2003,Shipped,4,Oct,2003,Motorcycles,S10_4698,CA,94217,EUA,Medium,300
41,10201,49,100,4,8065.89,12/1/2003,Shipped,4,Dec,2003,Motorcycles,S10_4698,CA,,EUA,Large,400
42,10237,39,100,9,7023.9,4/5/2004,Shipped,2,Apr,2004,Motorcycles,S10_4698,NY,10022,EUA,Large,900
43,10251,43,100,4,7078.23,5/18/2004,Shipped,2,Mai,2004,Motorcycles,S10_4698,NJ,94019,EUA,Large,400
44,10263,41,100,4,8336.94,6/28/2004,Shipped,2,Jun,2004,Motorcycles,S10_4698,CT,97562,EUA,Large,400
45,10285,27,100,8,5438.07,8/27/2004,Shipped,3,Ago,2004,Motorcycles,S10_4698,MA,51247,EUA,Medium,800
46,10308,20,100,1,4570.4,10/15/2004,Shipped,4,Oct,2004,Motorcycles,S10_4698,NY,24067,EUA,Medium,100
47,10318,37,100,3,7667.14,11/2/2004,Shipped,4,Nov,2004,Motorcycles,S10_4698,PA,70267,EUA,Large,300
48,10329,26,100,3,5868.2,11/15/2004,Shipped,4,Nov,2004,Motorcycles,S10_4698,NY,10022,EUA,Medium,300
49,10362,22,100,4,3664.1,1/5/2005,Shipped,1,Jan,2005,Motorcycles,S10_4698,CA,94217,EUA,Medium,400
50,10388,21,86.77,7,1822.17,3/3/2005,Shipped,1,Mar,2005,Motorcycles,S10_4698,MA,50553,EUA,Small,607.39
51,10143,49,100,15,5597.76,8/10/2003,Shipped,3,Ago,2003,Classic Cars,S10_4757,MA,50553,EUA,Medium,1500
52,10209,39,100,8,5197.92,1/9/2004,Shipped,1,Jan,2004,Classic Cars,S10_4757,CA,,EUA,Medium,800
53,10222,49,100,12,5997.6,2/19/2004,Shipped,1,Feb,2004,Classic Cars,S10_4757,CA,91217,EUA,Medium,1200
54,10248,20,100,3,2910.4,5/7/2004,Cancelled,2,Mai,2004,Classic Cars,S10_4757,NY,10022,EUA,Small,300
55,10295,24,100,1,3427.2,9/10/2004,Shipped,3,Sep,2004,Classic Cars,S10_4757,MA,51003,EUA,Medium,100
56,10307,22,100,9,2692.8,10/14/2004,Shipped,4,Oct,2004,Classic Cars,S10_4757,PA,71270,EUA,Small,900
57,10337,25,48.05,8,1201.25,11/21/2004,Shipped,4,Nov,2004,Classic Cars,S10_4757,NY,10022,EUA,Small,384.4
58,10384,34,100,4,4846.7,2/23/2005,Shipped,1,Feb,2005,Classic Cars,S10_4757,CA,,EUA,Medium,400
59,10400,64,100,9,9661.44,4/1/2005,Shipped,2,Apr,2005,Classic Cars,S10_4757,CA,94217,EUA,Large,900
60,10414,19,100,3,2764.88,5/6/2005,On Hold,2,Mai,2005,Classic Cars,S10_4757,MA,51003,EUA,Small,300
61,10140,26,100,4,3188.12,7/24/2003,Shipped,3,Jul,2003,Classic Cars,S10_4962,CA,94217,EUA,Medium,400
62,10183,28,100,1,3433.36,11/13/2003,Shipped,4,Nov,2003,Classic Cars,S10_4962,PA,71270,EUA,Medium,100
63,10207,31,100,15,4076.19,12/9/2003,Shipped,4,Dec,2003,Classic Cars,S10_4962,MA,51003,EUA,Medium,1500
64,10229,50,100,9,6426.5,3/11/2004,Shipped,1,Mar,2004,Classic Cars,S10_4962,CA,97562,EUA,Medium,900
65,10245,28,100,2,4591.72,5/4/2004,Shipped,2,Mai,2004,Classic Cars,S10_4962,CT,97823,EUA,Medium,200
66,10281,44,100,9,7020.64,8/19/2004,Shipped,3,Ago,2004,Classic Cars,S10_4962,PA,70267,EUA,Large,900
67,10305,38,100,13,6680.78,10/13/2004,Shipped,4,Oct,2004,Classic Cars,S10_4962,MA,51247,EUA,Medium,1300
68,10322,46,61.99,8,2851.54,11/4/2004,Shipped,4,Nov,2004,Classic Cars,S10_4962,NH,62005,EUA,Small,495.92
69,10357,43,100,9,5780.92,12/10/2004,Shipped,4,Dec,2004,Classic Cars,S10_4962,CA,97562,EUA,Medium,900
70,10381,37,100,6,6231.54,2/17/2005,Shipped,1,Feb,2005,Classic Cars,S10_4962,CA,,EUA,Medium,600
71,10135,42,100,7,8008.56,7/2/2003,Shipped,3,Jul,2003,Classic Cars,S12_1099,CA,97562,EUA,Large,700
72,10147,48,100,7,9245.76,9/5/2003,Shipped,3,Sep,2003,Classic Cars,S12_1099,MA,58339,EUA,Large,700
73,10159,41,100,2,8296.35,10/10/2003,Shipped,4,Oct,2003,Classic Cars,S12_1099,CA,,EUA,Large,200
74,10276,50,100,3,9631,8/2/2004,Shipped,3,Ago,2004,Classic Cars,S12_1099,MA,58339,EUA,Large,300
75,10329,41,71.47,5,2930.27,11/15/2004,Shipped,4,Nov,2004,Classic Cars,S12_1099,NY,10022,EUA,Small,357.35
76,10127,46,100,2,11279.2,6/3/2003,Shipped,2,Jun,2003,Classic Cars,S12_1108,NY,10022,EUA,Large,200
77,10142,33,100,12,8023.29,8/8/2003,Shipped,3,Ago,2003,Classic Cars,S12_1108,CA,97562,EUA,Large,1200
78,10185,21,100,13,3883.74,11/14/2003,Shipped,4,Nov,2003,Classic Cars,S12_1108,MA,50553,EUA,Medium,1300
79,10196,47,100,5,8887.7,11/26/2003,Shipped,4,Nov,2003,Classic Cars,S12_1108,CT,97823,EUA,Large,500
80,10272,35,100,2,5818.4,7/20/2004,Shipped,3,Jul,2004,Classic Cars,S12_1108,PA,70267,EUA,Medium,200
81,10282,41,100,5,7071.27,8/20/2004,Shipped,3,Ago,2004,Classic Cars,S12_1108,CA,97562,EUA,Large,500
82,10371,32,100,6,3560.64,1/23/2005,Shipped,1,Jan,2005,Classic Cars,S12_1108,CA,97562,EUA,Medium,600
83,10382,34,100,10,3823.64,2/17/2005,Shipped,1,Feb,2005,Classic Cars,S12_1108,CA,97562,EUA,Medium,1000
84,10413,36,100,2,8677.8,5/5/2005,Shipped,2,Mai,2005,Classic Cars,S12_1108,CT,97562,EUA,Large,200
85,10113,21,100,2,3415.44,3/26/2003,Shipped,1,Mar,2003,Trucks and Buses,S12_1666,CA,97562,EUA,Medium,200
86,10140,38,100,8,4829.8,7/24/2003,Shipped,3,Jul,2003,Trucks and Buses,S12_1666,CA,94217,EUA,Medium,800
87,10183,41,100,5,6163.94,11/13/2003,Shipped,4,Nov,2003,Trucks and Buses,S12_1666,PA,71270,EUA,Medium,500
88,10229,25,100,13,3451,3/11/2004,Shipped,1,Mar,2004,Trucks and Buses,S12_1666,CA,97562,EUA,Medium,1300
89,10245,38,100,6,5920.4,5/4/2004,Shipped,2,Mai,2004,Trucks and Buses,S12_1666,CT,97823,EUA,Medium,600
90,10281,25,100,13,2938.5,8/19/2004,Shipped,3,Ago,2004,Trucks and Buses,S12_1666,PA,70267,EUA,Small,1300
91,10322,27,100,9,4784.13,11/4/2004,Shipped,4,Nov,2004,Trucks and Buses,S12_1666,NH,62005,EUA,Medium,900
92,10333,33,99.21,6,3273.93,11/18/2004,Shipped,4,Nov,2004,Trucks and Buses,S12_1666,CA,,EUA,Medium,595.26
93,10357,49,100,8,5960.36,12/10/2004,Shipped,4,Dec,2004,Trucks and Buses,S12_1666,CA,97562,EUA,Medium,800
94,10381,20,100,1,2952,2/17/2005,Shipped,1,Feb,2005,Trucks and Buses,S12_1666,CA,,EUA,Small,100
95,10107,21,100,1,3036.6,2/24/2003,Shipped,1,Feb,2003,Motorcycles,S12_2823,NY,10022,EUA,Medium,100
96,10145,49,100,5,8339.8,8/25/2003,Shipped,3,Ago,2003,Motorcycles,S12_2823,CA,90003,EUA,Large,500
97,10159,38,100,13,6238.84,10/10/2003,Shipped,4,Oct,2003,Motorcycles,S12_2823,CA,,EUA,Medium,1300
98,10189,28,100,1,4512.48,11/18/2003,Shipped,4,Nov,2003,Motorcycles,S12_2823,CA,90003,EUA,Medium,100
99,10201,25,100,1,4029,12/1/2003,Shipped,4,Dec,2003,Motorcycles,S12_2823,CA,,EUA,Medium,100
100,10237,32,100,6,4193.28,4/5/2004,Shipped,2,Apr,2004,Motorcycles,S12_2823,NY,10022,EUA,Medium,600
101,10251,46,100,1,7552.28,5/18/2004,Shipped,2,Mai,2004,Motorcycles,S12_2823,NJ,94019,EUA,Large,100
102,10263,48,100,1,6434.4,6/28/2004,Shipped,2,Jun,2004,Motorcycles,S12_2823,CT,97562,EUA,Medium,100
103,10276,43,100,14,5181.5,8/2/2004,Shipped,3,Ago,2004,Motorcycles,S12_2823,MA,58339,EUA,Medium,1400
104,10285,49,100,5,6863.92,8/27/2004,Shipped,3,Ago,2004,Motorcycles,S12_2823,MA,51247,EUA,Medium,500
105,10319,30,100,9,4111.8,11/3/2004,Shipped,4,Nov,2004,Motorcycles,S12_2823,NY,10022,EUA,Medium,900
106,10329,24,100,6,3542.64,11/15/2004,Shipped,4,Nov,2004,Motorcycles,S12_2823,NY,10022,EUA,Medium,600
107,10362,22,100,1,3877.06,1/5/2005,Shipped,1,Jan,2005,Motorcycles,S12_2823,CA,94217,EUA,Medium,100
108,10388,44,100,6,5951.44,3/3/2005,Shipped,1,Mar,2005,Motorcycles,S12_2823,MA,50553,EUA,Medium,600
109,10127,46,100,3,7366.44,6/3/2003,Shipped,2,Jun,2003,Classic Cars,S12_3148,NY,10022,EUA,Large,300
110,10142,33,100,13,4985.64,8/8/2003,Shipped,3,Ago,2003,Classic Cars,S12_3148,CA,97562,EUA,Medium,1300
111,10185,33,100,14,4038.21,11/14/2003,Shipped,4,Nov,2003,Classic Cars,S12_3148,MA,50553,EUA,Medium,1400
112,10196,24,100,6,3807.12,11/26/2003,Shipped,4,Nov,2003,Classic Cars,S12_3148,CT,97823,EUA,Medium,600
113,10272,27,100,3,4283.01,7/20/2004,Shipped,3,Jul,2004,Classic Cars,S12_3148,PA,70267,EUA,Medium,300
114,10282,27,100,6,4364.82,8/20/2004,Shipped,3,Ago,2004,Classic Cars,S12_3148,CA,97562,EUA,Medium,600
115,10324,27,54.33,1,1466.91,11/5/2004,Shipped,4,Nov,2004,Classic Cars,S12_3148,NY,10022,EUA,Small,54.33
116,10382,37,100,11,4071.85,2/17/2005,Shipped,1,Feb,2005,Classic Cars,S12_3148,CA,97562,EUA,Medium,1100
117,10413,47,100,3,8236.75,5/5/2005,Shipped,2,Mai,2005,Classic Cars,S12_3148,CT,97562,EUA,Large,300
118,10135,48,100,5,6031.68,7/2/2003,Shipped,3,Jul,2003,Classic Cars,S12_3380,CA,97562,EUA,Medium,500
119,10147,31,100,5,3494.94,9/5/2003,Shipped,3,Sep,2003,Classic Cars,S12_3380,MA,58339,EUA,Medium,500
120,10160,46,100,6,5294.14,10/11/2003,Shipped,4,Oct,2003,Classic Cars,S12_3380,CA,,EUA,Medium,600
121,10276,47,100,1,5464.69,8/2/2004,Shipped,3,Ago,2004,Classic Cars,S12_3380,MA,58339,EUA,Medium,100
122,10329,46,83.63,13,3846.98,11/15/2004,Shipped,4,Nov,2004,Classic Cars,S12_3380,NY,10022,EUA,Medium,1087.19
123,10376,35,100,1,3987.2,2/8/2005,Shipped,1,Feb,2005,Classic Cars,S12_3380,CA,92561,EUA,Medium,100
124,10127,42,100,1,8138.76,6/3/2003,Shipped,2,Jun,2003,Classic Cars,S12_3891,NY,10022,EUA,Large,100
125,10142,46,100,11,9470.94,8/8/2003,Shipped,3,Ago,2003,Classic Cars,S12_3891,CA,97562,EUA,Large,1100
126,10185,43,100,12,7886.2,11/14/2003,Shipped,4,Nov,2003,Classic Cars,S12_3891,MA,50553,EUA,Large,1200
127,10196,38,100,4,7232.16,11/26/2003,Shipped,4,Nov,2003,Classic Cars,S12_3891,CT,97823,EUA,Large,400
128,10272,39,100,1,7962.24,7/20/2004,Shipped,3,Jul,2004,Classic Cars,S12_3891,PA,70267,EUA,Large,100
129,10282,24,100,4,3778.8,8/20/2004,Shipped,3,Ago,2004,Classic Cars,S12_3891,CA,97562,EUA,Medium,400
130,10349,26,100,10,4408.56,12/1/2004,Shipped,4,Dec,2004,Classic Cars,S12_3891,NY,10022,EUA,Medium,1000
131,10382,34,95.35,12,3241.9,2/17/2005,Shipped,1,Feb,2005,Classic Cars,S12_3891,CA,97562,EUA,Medium,1144.2
132,10396,33,100,3,6109.29,3/23/2005,Shipped,1,Mar,2005,Classic Cars,S12_3891,CA,97562,EUA,Medium,300
133,10413,22,100,1,3387.78,5/5/2005,Shipped,2,Mai,2005,Classic Cars,S12_3891,CT,97562,EUA,Medium,100
134,10135,24,75.01,8,1800.24,7/2/2003,Shipped,3,Jul,2003,Classic Cars,S12_3990,CA,97562,EUA,Small,600.08
135,10147,21,63.84,8,1340.64,9/5/2003,Shipped,3,Sep,2003,Classic Cars,S12_3990,MA,58339,EUA,Small,510.72
136,10159,24,73.42,3,1762.08,10/10/2003,Shipped,4,Oct,2003,Classic Cars,S12_3990,CA,,EUA,Small,220.26
137,10276,38,83.79,4,3184.02,8/2/2004,Shipped,3,Ago,2004,Classic Cars,S12_3990,MA,58339,EUA,Medium,335.16
138,10329,33,100,14,3607.56,11/15/2004,Shipped,4,Nov,2004,Classic Cars,S12_3990,NY,10022,EUA,Medium,1400
139,10115,46,100,5,5723.78,4/4/2003,Shipped,2,Apr,2003,Trucks and Buses,S12_4473,NY,10022,EUA,Medium,500
140,10127,24,100,11,2559.6,6/3/2003,Shipped,2,Jun,2003,Trucks and Buses,S12_4473,NY,10022,EUA,Small,1100
141,10195,49,100,6,6445.46,11/25/2003,Shipped,4,Nov,2003,Trucks and Buses,S12_4473,NY,24067,EUA,Medium,600
142,10207,34,99.54,7,3384.36,12/9/2003,Shipped,4,Dec,2003,Trucks and Buses,S12_4473,MA,51003,EUA,Medium,696.78
143,10219,48,100,2,4891.68,2/10/2004,Shipped,1,Feb,2004,Trucks and Buses,S12_4473,CA,94217,EUA,Medium,200
144,10229,36,100,1,4521.96,3/11/2004,Shipped,1,Mar,2004,Trucks and Buses,S12_4473,CA,97562,EUA,Medium,100
145,10271,31,97.17,5,3012.27,7/20/2004,Shipped,3,Jul,2004,Trucks and Buses,S12_4473,CA,97562,EUA,Medium,485.85
146,10281,41,100,1,5247.18,8/19/2004,Shipped,3,Ago,2004,Trucks and Buses,S12_4473,PA,70267,EUA,Medium,100
147,10292,21,100,8,2214.87,9/8/2004,Shipped,3,Sep,2004,Trucks and Buses,S12_4473,NY,10022,EUA,Small,800
148,10305,38,100,5,4773.18,10/13/2004,Shipped,4,Oct,2004,Trucks and Buses,S12_4473,MA,51247,EUA,Medium,500
149,10324,26,58.38,7,1517.88,11/5/2004,Shipped,4,Nov,2004,Trucks and Buses,S12_4473,NY,10022,EUA,Small,408.66
150,10349,48,100,9,5232.96,12/1/2004,Shipped,4,Dec,2004,Trucks and Buses,S12_4473,NY,10022,EUA,Medium,900
151,10371,49,35.71,4,1749.79,1/23/2005,Shipped,1,Jan,2005,Trucks and Buses,S12_4473,CA,97562,EUA,Small,142.84
152,10382,32,66.58,13,2130.56,2/17/2005,Shipped,1,Feb,2005,Trucks and Buses,S12_4473,CA,97562,EUA,Small,865.54
153,10135,29,97.89,4,2838.81,7/2/2003,Shipped,3,Jul,2003,Classic Cars,S12_4675,CA,97562,EUA,Small,391.56
154,10147,33,97.89,4,3230.37,9/5/2003,Shipped,3,Sep,2003,Classic Cars,S12_4675,MA,58339,EUA,Medium,391.56
155,10160,50,100,5,5182,10/11/2003,Shipped,4,Oct,2003,Classic Cars,S12_4675,CA,,EUA,Medium,500
156,10192,27,100,16,3544.56,11/20/2003,Shipped,4,Nov,2003,Classic Cars,S12_4675,NH,62005,EUA,Medium,1600
157,10321,24,100,15,2984.88,11/4/2004,Shipped,4,Nov,2004,Classic Cars,S12_4675,MA,50553,EUA,Small,1500
158,10329,39,64.74,15,2524.86,11/15/2004,Shipped,4,Nov,2004,Classic Cars,S12_4675,NY,10022,EUA,Small,971.1
159,10113,49,100,4,4916.66,3/26/2003,Shipped,1,Mar,2003,Trucks and Buses,S18_1097,CA,97562,EUA,Medium,400
160,10140,32,100,10,4181.44,7/24/2003,Shipped,3,Jul,2003,Trucks and Buses,S18_1097,CA,94217,EUA,Medium,1000
161,10183,21,96.84,7,2033.64,11/13/2003,Shipped,4,Nov,2003,Trucks and Buses,S18_1097,PA,71270,EUA,Small,677.88
162,10215,46,100,2,5152,1/29/2004,Shipped,1,Jan,2004,Trucks and Buses,S18_1097,CA,94019,EUA,Medium,200
163,10228,32,100,1,3360,3/10/2004,Shipped,1,Mar,2004,Trucks and Buses,S18_1097,MA,51247,EUA,Medium,100
164,10245,29,100,8,3451,5/4/2004,Shipped,2,Mai,2004,Trucks and Buses,S18_1097,CT,97823,EUA,Medium,800
165,10312,32,100,2,4181.44,10/21/2004,Shipped,4,Oct,2004,Trucks and Buses,S18_1097,CA,97562,EUA,Medium,200
166,10322,22,100,10,2251.04,11/4/2004,Shipped,4,Nov,2004,Trucks and Buses,S18_1097,NH,62005,EUA,Small,1000
167,10333,29,40.25,7,1167.25,11/18/2004,Shipped,4,Nov,2004,Trucks and Buses,S18_1097,CA,,EUA,Small,281.75
168,10357,39,98,1,3822,12/10/2004,Shipped,4,Dec,2004,Trucks and Buses,S18_1097,CA,97562,EUA,Medium,98
169,10381,48,98,2,4704,2/17/2005,Shipped,1,Feb,2005,Trucks and Buses,S18_1097,CA,,EUA,Medium,196
170,10109,26,100,4,4379.18,3/10/2003,Shipped,1,Mar,2003,Classic Cars,S18_1129,PA,71270,EUA,Medium,400
171,10192,22,100,11,3300.66,11/20/2003,Shipped,4,Nov,2003,Classic Cars,S18_1129,NH,62005,EUA,Medium,1100
172,10204,42,100,17,6182.4,12/2/2003,Shipped,4,Dec,2003,Classic Cars,S18_1129,NY,10022,EUA,Medium,1700
173,10278,34,100,6,4667.86,8/6/2004,Shipped,3,Ago,2004,Classic Cars,S18_1129,NV,83030,EUA,Medium,600
174,10321,41,100,10,5803.14,11/4/2004,Shipped,4,Nov,2004,Classic Cars,S18_1129,MA,50553,EUA,Medium,1000
175,10331,46,100,6,6434.02,11/17/2004,Shipped,4,Nov,2004,Classic Cars,S18_1129,PA,71270,EUA,Medium,600
176,10365,30,87.06,1,2611.8,1/7/2005,Shipped,1,Jan,2005,Classic Cars,S18_1129,MA,50553,EUA,Small,87.06
177,10390,36,93.77,14,3375.72,3/4/2005,Shipped,1,Mar,2005,Classic Cars,S18_1129,CA,97562,EUA,Medium,1312.78
178,10102,39,100,2,4808.31,1/10/2003,Shipped,1,Jan,2003,Vintage Cars,S18_1342,NY,10022,EUA,Medium,200
179,10111,33,99.66,6,3288.78,3/25/2003,Shipped,1,Mar,2003,Vintage Cars,S18_1342,CA,,EUA,Medium,597.96
180,10149,50,100,4,5907.5,9/12/2003,Shipped,3,Sep,2003,Vintage Cars,S18_1342,CA,94217,EUA,Medium,400
181,10162,48,91.44,2,4389.12,10/18/2003,Shipped,4,Oct,2003,Vintage Cars,S18_1342,CA,,EUA,Medium,182.88
182,10182,25,87.33,3,2183.25,11/12/2003,Shipped,4,Nov,2003,Vintage Cars,S18_1342,CA,97562,EUA,Small,261.99
183,10215,27,89.38,10,2413.26,1/29/2004,Shipped,1,Jan,2004,Vintage Cars,S18_1342,CA,94019,EUA,Small,893.8
184,10312,43,89.38,10,3843.34,10/21/2004,Shipped,4,Oct,2004,Vintage Cars,S18_1342,CA,97562,EUA,Medium,893.8
185,10322,43,86.3,14,3710.9,11/4/2004,Shipped,4,Nov,2004,Vintage Cars,S18_1342,NH,62005,EUA,Medium,1208.2
186,10346,42,36.11,3,1516.62,11/29/2004,Shipped,4,Nov,2004,Vintage Cars,S18_1342,NV,83030,EUA,Small,108.33
187,10369,44,100,8,9240.44,1/20/2005,Shipped,1,Jan,2005,Vintage Cars,S18_1342,MA,58339,EUA,Large,800
188,10422,51,95.55,2,4873.05,5/30/2005,In Process,2,Mai,2005,Vintage Cars,S18_1342,PA,70267,EUA,Medium,191.1
189,10102,41,50.14,1,2055.74,1/10/2003,Shipped,1,Jan,2003,Vintage Cars,S18_1367,NY,10022,EUA,Small,50.14
190,10111,48,49.06,5,2354.88,3/25/2003,Shipped,1,Mar,2003,Vintage Cars,S18_1367,CA,,EUA,Small,245.3
191,10149,30,58.22,3,1746.6,9/12/2003,Shipped,3,Sep,2003,Vintage Cars,S18_1367,CA,94217,EUA,Small,174.66
192,10162,45,51.21,1,2304.45,10/18/2003,Shipped,4,Oct,2003,Vintage Cars,S18_1367,CA,,EUA,Small,51.21
193,10182,32,54.45,2,1742.4,11/12/2003,Shipped,4,Nov,2003,Vintage Cars,S18_1367,CA,97562,EUA,Small,108.9
194,10215,33,43.13,9,1423.29,1/29/2004,Shipped,1,Jan,2004,Vintage Cars,S18_1367,CA,94019,EUA,Small,388.17
195,10312,25,44.21,9,1105.25,10/21/2004,Shipped,4,Oct,2004,Vintage Cars,S18_1367,CA,97562,EUA,Small,397.89
196,10322,41,57.68,5,2364.88,11/4/2004,Shipped,4,Nov,2004,Vintage Cars,S18_1367,NH,62005,EUA,Small,288.4
197,10369,32,98.63,7,3156.16,1/20/2005,Shipped,1,Jan,2005,Vintage Cars,S18_1367,MA,58339,EUA,Medium,690.41
198,10381,25,52.83,9,1320.75,2/17/2005,Shipped,1,Feb,2005,Vintage Cars,S18_1367,CA,,EUA,Small,475.47
199,10422,25,51.75,1,1293.75,5/30/2005,In Process,2,Mai,2005,Vintage Cars,S18_1367,PA,70267,EUA,Small,51.75
200,10172,42,100,6,4965.24,11/5/2003,Shipped,4,Nov,2003,Classic Cars,S18_1589,CT,97562,EUA,Medium,600
201,10192,29,100,7,4258.36,11/20/2003,Shipped,4,Nov,2003,Classic Cars,S18_1589,NH,62005,EUA,Medium,700
202,10204,40,100,13,4032,12/2/2003,Shipped,4,Dec,2003,Classic Cars,S18_1589,NY,10022,EUA,Medium,1300
203,10226,38,100,4,4161.38,2/26/2004,Shipped,1,Feb,2004,Classic Cars,S18_1589,CA,91217,EUA,Medium,400
204,10278,23,100,2,2604.52,8/6/2004,Shipped,3,Ago,2004,Classic Cars,S18_1589,NV,83030,EUA,Small,200
205,10321,44,100,6,4489.76,11/4/2004,Shipped,4,Nov,2004,Classic Cars,S18_1589,MA,50553,EUA,Medium,600
